"stationCode",eng,jp
JB 39,Chiba,千葉
JB 38,Nishi-Chiba,西千葉
JB 37,Inage,稲毛
JB 36,Shin-Kemigawa,新検見川
JB 35,Makuhari,幕張
JB 34,Makuharihongō,幕張本郷
JB 33,Tsudanuma,津田沼
JB 32,Higashi-Funabashi,東船橋
JB 31,Funabashi,船橋
JB 30,Nishi-Funabashi,西船橋
JB 29,Shimōsa-Nakayama,下総中山
JB 28,Moto-Yawata,本八幡
JB 27,Ichikawa,市川
JB 26,Koiwa,小岩
JB 25,Shin-Koiwa,新小岩
JB 24,Hirai,平井
JB 23,Kameido,亀戸
JB 22,Kinshichō,錦糸町
JB 21,Ryōgoku,両国
JB 20,Asakusabashi,浅草橋
JB 19,Akihabara,秋葉原
JB 18,Ochanomizu,御茶ノ水
JB 17,Suidōbashi,水道橋
JB 16,Iidabashi,飯田橋
JB 15,Ichigaya,市ケ谷
JB 14,Yotsuya,四ツ谷
JB 13,Shinanomachi,信濃町
JB 12,Sendagaya,千駄ケ谷
JB 11,Yoyogi,代々木
JB 10,Shinjuku,新宿
JB 09,Ōkubo,大久保
JB 08,Higashi-Nakano,東中野
JB 07,Nakano,中野
JB 06,Kōenji,高円寺
JB 05,Asagaya,阿佐ケ谷
JB 04,Ogikubo,荻窪
JB 03,Nishi-Ogikubo,西荻窪
JB 02,Kichijōji,吉祥寺
JB 01,Mitaka,三鷹
