stationCode,eng,jp
JK 47,Ōmiya,大宮
JK 46,Saitama-Shintoshin,さいたま新都心
JK 45,Yono,与野
JK 44,Kita-Urawa,北浦和
JK 43,Urawa,浦和
JK 42,Minami-Urawa,南浦和
JK 41,Warabi,蕨
JK 40,Nishi-Kawaguchi,西川口
JK 39,Kawaguchi,川口
JK 38,Akabane,赤羽
JK 37,Higashi-Jūjō,東十条
JK 36,Ōji,王子
JK 35,Kami-Nakazato,上中里
JK 34,Tabata,田端
JK 33,Nishi-Nippori,西日暮里
JK 32,Nippori,日暮里
JK 31,Uguisudani,鶯谷
JK 30,Ueno,上野
JK 29,Okachimachi,御徒町
JK 28,Akihabara,秋葉原
JK 27,Kanda,神田
JK 26,Tokyo,東京
JK 25,Yūrakuchō,有楽町
JK 24,Shimbashi,新橋
JK 23,Hamamatsuchō,浜松町
JK 22,Tamachi,田町
JK 21,Takanawa Gateway,高輪ゲートウェイ
JK 20,Shinagawa,品川
JK 19,Ōimachi,大井町
JK 18,Ōmori,大森
JK 17,Kamata,蒲田
JK 16,Kawasaki,川崎
JK 15,Tsurumi,鶴見
JK 14,Shin-Koyasu,新子安
JK 13,Higashi-Kanagawa,東神奈川
JK 12,Yokohama,橫浜
JK 11,Sakuragichō,桜木町
JK 10,Kannai,関内
JK 09,Ishikawachō,石川町
JK 08,Yamate,山手
JK 07,Negishi,根岸
JK 06,Isogo,磯子
JK 05,Shin-Sugita,新杉田
JK 04,Yōkōdai,洋光台
JK 03,Kōnandai,港南台
JK 02,Hongōdai,本郷台
JK 01,Ōfuna,大船
