stationCode,eng,jp
JM 35,Fuchūhommachi,府中本町
JM 34,Kita-Fuchū,北府中
JM 33,Nishi-Kokubunji,西国分寺
JM 32,Shin-Kodaira,新小平
JM 31,Shin-Akitsu,新秋津
JM 30,Higashi-Tokorozawa,東所沢
JM 29,Niiza,新座
JM 28,Kita-Asaka,北朝霞
JM 27,Nishi-Urawa,西浦和
JM 26,Musashi-Urawa,武蔵浦和
JM 25,Minami-Urawa,南浦和
JM 24,Higashi-Urawa,東浦和
JM 23,Higashi-Kawaguchi,東川口
JM 22,Minami-Koshigaya,南越谷
JM 21,Koshigaya-Laketown,越谷レイクタウン
JM 20,Yoshikawa,吉川
JM 19,Yoshikawaminami,吉川美南
JM 18,Shim-Misato,新三郷
JM 17,Misato,三郷
JM 16,Minami-Nagareyama,南流山
JM 15,Shim-Matsudo,新松戸
JM 14,Shin-Yahashira,新八柱
JM 13,Higashi-Matsudo,東松戸
JM 12,Ichikawaōno,市川大野
JM 11,Funabashihōten,船橋法典
JM 10,Nishi-Funabashi,西船橋
