stationCode,eng,jp
JN 01,Kawasaki,川崎
JN 02,Shitte,尻手
JN 03,Yakō,矢向
JN 04,Kashimada,鹿島田
JN 05,Hirama,平間
JN 06,Mukaigawara,向河原
JN 07,Musashi-Kosugi,武蔵小杉
JN 08,Musashi-Nakahara,武蔵中原
JN 09,Musashi-Shinjō,武蔵新城
JN 10,Musashi-Mizonokuchi,武蔵溝ノ口
JN 11,Tsudayama,津田山
JN 12,Kuji,久地
JN 13,Shukugawara,宿河原
JN 14,Noborito,登戸
JN 15,Nakanoshima,中野島
JN 16,Inadazutsumi,稲田堤
JN 17,Yanokuchi,矢野口
JN 18,Inagi-Naganuma,稲城長沼
JN 19,Minami-Tama,南多摩
JN 20,Fuchū-Hommachi,府中本町
JN 21,Bubaigawara,分倍河原
JN 22,Nishifu,西府
JN 23,Yaho,谷保
JN 24,Yagawa,矢川
JN 25,Nishi-Kunitachi,西国立
JN 26,Tachikawa,立川
JN 51,Hatchōnawate,八丁畷
JN 52,Kawasaki-Shinmachi,川崎新町
JN 53,Odasakae,小田栄
JN 54,Hama-Kawasaki,浜川崎
