stationCode,eng,jp
JO 19,Tokyo,東京
JO 20,Shin-Nihombashi,新日本橋
JO 21,Bakurochō,馬喰町
JO 22,Kinshichō,錦糸町
JO 23,Shin-Koiwa,新小岩
JO 24,Ichikawa,市川
JO 25,Funabashi,船橋
JO 26,Tsudanuma,津田沼
JO 27,Inage,稲毛
JO 28,Chiba,千葉
JO 18,Shimbashi,新橋
JO 17,Shinagawa,品川
JO 16,Nishi-Ōi,西大井
JO 15,Musashi-Kosugi,武蔵小杉
JO 14,Shin-Kawasaki,新川崎
JO 13,Yokohama,横浜
JO 12,Hodogaya,保土ヶ谷
JO 11,Higashi-Totsuka,東戸塚
JO 10,Totsuka,戸塚
JO 09,Ōfuna,大船
JO 08,Kita-Kamakura,北鎌倉
JO 07,Kamakura,鎌倉
JO 06,Zushi,逗子
JO 05,Higashi-Zushi,東逗子
JO 04,Taura,田浦
JO 03,Yokosuka,横須賀
JO 02,Kinugasa,衣笠
JO 01,Kurihama,久里浜
