stationCode,eng,jp
JY 09,Tabata,田端
JY 08,Nishi-Nippori,西日暮里
JY 07,Nippori,日暮里
JY 06,Uguisudani,鶯谷
JY 05,Ueno,上野
JY 04,Okachimachi,御徒町
JY 03,Akihabara,秋葉原
JY 02,Kanda,神田
JY 01,Tokyo,東京
JY 30,Yūrakuchō,有楽町
JY 29,Shimbashi,新橋
JY 28,Hamamatsuchō,浜松町
JY 27,Tamachi,田町
JY 26,Takanawa Gateway,高輪ゲートウェイ
JY 25,Shinagawa,品川
JY 10,Komagome,駒込
JY 11,Sugamo,巣鴨
JY 12,Ōtsuka,大塚 
JY 13,Ikebukuro,池袋
JY 14,Mejiro,目白
JY 15,Takadanobaba,高田馬場
JY 16,Shin-Ōkubo,新大久保
JY 17,Shinjuku,新宿
JY 18,Yoyogi,代々木
JY 19,Harajuku,原宿
JY 20,Shibuya,渋谷
JY 21,Ebisu,恵比寿
JY 22,Meguro,目黒
JY 23,Gotanda,五反田
JY 24,Ōsaki,大崎
