stationCode,eng,jp
KK 01,Shinagawa,品川
KK 02,Kitashinagawa,北品川
KK 03,Shimbamba,新馬場
KK 04,Aomono-yokochō,青物横丁
KK 05,Samezu,鮫洲
KK 06,Tachiaigawa,立会川
KK 07,Ōmorikaigan,大森海岸
KK 08,Heiwajima,平和島
KK 09,Ōmorimachi,大森町
KK 10,Umeyashiki,梅屋敷
KK 11,Keikyū Kamata,京急蒲田
KK 18,Zōshiki,雑色
KK 19,Rokugōdote,六郷土手
KK 20,Keikyū Kawasaki,京急川崎
KK 27,Hatchō-nawate,八丁畷
KK 28,Tsurumi-ichiba,鶴見市場
KK 29,Keikyū Tsurumi,京急鶴見
KK 30,Kagetsu-sōjiji,花月総持寺
KK 31,Namamugi,生麦
KK 32,Keikyū Shinkoyasu,京急新子安
KK 33,Koyasu,子安
KK 34,Kanagawa-shimmachi,神奈川新町
KK 35,Keikyū Higashi-kanagawa,京急東神奈川
KK 36,Kanagawa,神奈川
KK 37,Yokohama,横浜
KK 38,Tobe,戸部
KK 39,Hinodechō,日ノ出町
KK 40,Koganechō,黄金町
KK 41,Minamiōta,南太田
KK 42,Idogaya,井土ヶ谷
KK 43,Gumyōji,弘明寺
KK 44,Kamiōoka,上大岡
KK 45,Byōbugaura,屏風浦
KK 46,Sugita,杉田
KK 47,Keikyū Tomioka,京急富岡
KK 48,Nōkendai,能見台
KK 49,Kanazawa-bunko,金沢文庫
KK 50,Kanazawa-haKK ei,金沢八景
KK 54,Oppama,追浜
KK 55,Keikyū Taura,京急田浦
KK 56,Anjinzuka,安針塚
KK 57,Hemi,逸見
KK 58,Shioiri,汐入
KK 59,Yokosuka-chūō,横須賀中央
KK 60,Kenritsudaigaku,県立大学
KK 61,Horinouchi,堀ノ内
KK 62,Keikyū Ōtsu,京急大津
KK 63,Maborikaigan,馬堀海岸
KK 64,Uraga,浦賀
