stationCode,eng,jp
KO 01,Shinjuku,新宿
KO 02,Hatsudai,初台
KO 03,Hatagaya,幡ヶ谷
KO 04,Sasazuka,笹塚
KO 05,Daitabashi,代田橋
KO 06,Meidaimae,明大前
KO 07,Shimo-Takaido,下高井戸
KO 08,Sakurajōsui,桜上水
KO 09,Kami-Kitazawa,上北沢
KO 10,Hachimanyama,八幡山
KO 11,Roka-kōen,芦花公園
KO 12,Chitose-Karasuyama,千歳烏山
KO 13,Sengawa,仙川
KO 14,Tsutsujigaoka,つつじヶ丘
KO 15,Shibasaki,柴崎
KO 16,Kokuryō,国領
KO 17,Fuda,布田
KO 18,Chōfu,調布
KO 19,Nishi-Chōfu,西調布
KO 20,Tobitakyū,飛田給
KO 21,Musashinodai,武蔵野台
KO 22,Tama-Reien,多磨霊園
KO 23,Higashi-Fuchū,東府中
KO 24,Fuchū,府中
KO 25,Bubaigawara,分倍河原
KO 26,Nakagawara,中河原
KO 27,Seiseki-Sakuragaoka,聖蹟桜ヶ丘
KO 28,Mogusaen,百草園
KO 29,Takahatafudō,高幡不動
KO 30,Minamidaira,南平
KO 31,Hirayamajōshi-kōen,平山城址公園
KO 32,Naganuma,長沼
KO 33,Kitano,北野
KO 34,Keiō-Hachiōji,京王八王子
KO 47,Tama-dōbutsukōen,多摩動物公園
KO 46,Fuchūkeiba-seimommae,府中競馬正門前 
