stationCode,eng,jp
KS 01,Keisei Ueno,京成上野
KS 02,Nippori,日暮里
KS 03,Shim-Mikawashima,新三河島
KS 04,Machiya,町屋
KS 05,Senjuōhashi,千住大橋
KS 06,Keisei Sekiya,京成関屋
KS 07,Horikirishōbuen,堀切菖蒲園
KS 08,Ohanajaya,お花茶屋
KS 09,Aoto,青砥
KS 10,Keisei Takasago,京成高砂
KS 11,Keisei Koiwa,京成小岩
KS 12,Edogawa,江戸川
KS 13,Kōnodai,国府台
KS 14,Ichikawamama,市川真間
KS 15,Sugano,菅野
KS 16,Keisei Yawata,京成八幡
KS 17,Onigoe,鬼越
KS 18,Keisei Nakayama,京成中山
KS 19,Higashi-Nakayama,東中山
KS 20,Keisei Nishifuna,京成西船
KS 21,Kaijin,海神
KS 22,Keisei Funabashi,京成船橋
KS 23,Daijingūshita,大神宮下
KS 24,Funabashikeibajō,船橋競馬場
KS 25,Yatsu,谷津
KS 26,Keisei Tsudanuma,京成津田沼
KS 27,Keisei Ōkubo,京成大久保
KS 28,Mimomi,実籾
KS 29,Yachiyodai,八千代台
KS 30,Keisei Ōwada,京成大和田
KS 31,Katsutadai,勝田台
KS 32,Shizu,志津
KS 33,Yūkarigaoka,ユーカリが丘
KS 34,Keisei Usui,京成臼井
KS 35,Keisei Sakura,京成佐倉
KS 36,Ōsakura,大佐倉
KS 37,Keisei Shisui,京成酒々井
KS 38,Sōgosandō,宗吾参道
KS 39,Kōzunomori,公津の杜
KS 40,Keisei Narita,京成成田
KS 41,Narita Airport Terminal 2·3,空港第2ビル
KS 42,Narita Airport Terminal 1,成田空港
