stationCode,eng,jp
SA 01,Minowabashi,三ノ輪橋
SA 02,Arakawa-itchumae,荒川一中前
SA 03,Arakawa-kuyakushomae,荒川区役所前
SA 04,Arakawa-nichōme,荒川二丁目
SA 05,Arakawa-nanachōme,荒川七丁目
SA 06,Machiya-ekimae,町屋駅前
SA 07,Machiya-nichōme,町屋二丁目
SA 08,Higashi-ogu-sanchōme,東尾久三丁目
SA 09,Kumanomae,熊野前
SA 10,Miyanomae,宮ノ前
SA 11,Odai,小台
SA 12,Arakawa-yūenchimae,荒川遊園地前
SA 13,Arakawa-shakomae,荒川車庫前
SA 14,Kajiwara,梶原
SA 15,Sakaechō,栄町
SA 16,Ōji-ekimae,王子駅前
SA 17,Asukayama,飛鳥山
SA 18,Takinogawa-itchōme,滝野川一丁目
SA 19,Nishigahara-yonchōme,西ヶ原四丁目
SA 20,Shin-koshinzuka,新庚申塚
SA 21,Kōshinzuka,庚申塚
SA 22,Sugamoshinden,巣鴨新田
SA 23,Ōtsuka-ekimae,大塚駅前
SA 24,Mukōhara,向原
SA 25,Higashi-ikebukuro-yonchome,東池袋四丁目
SA 26,Toden-zoshigaya,都電雑司ヶ谷
SA 27,Kishibojimmae,鬼子母神前
SA 28,Gakushuinshita,学習院下
SA 29,Omokagebashi,面影橋
SA 30,Waseda,早稲田
