stationCode,eng,jp
SL 01,Matsudo,松戸
SL 02,Kamihongō,上本郷
SL 03,Matsudo-Shinden,松戸新田
SL 04,Minoridai,みのり台
SL 05,Yabashira,八柱
SL 06,Tokiwadaira,常盤平
SL 07,Gokō,五香
SL 08,Motoyama,元山
SL 09,Kunugiyama,くぬぎ山
SL 10,Kita-Hatsutomi,北初富
SL 11,Shin-Kamagaya,新鎌ヶ谷
SL 12,Hatsutomi,初富
SL 13,Kamagaya-Daibutsu,鎌ヶ谷大仏
SL 14,Futawamukōdai,二和向台
SL 15,Misaki,三咲
SL 16,Takifudō,滝不動
SL 17,Takanekōdan,高根公団
SL 18,Takanekido,高根木戸
SL 19,Kita-Narashino,北習志野
SL 20,Narashino,習志野
SL 21,Yakuendai,薬園台
SL 22,Maebara,前原
SL 23,Shin-Tsudanuma,新津田沼
SL 24,Keisei Tsudanuma,京成津田沼
