stationCode,eng,jp
SI 01,Ikebukuro,池袋
SI 02,Shiinamachi,椎名町
SI 03,Higashi-Nagasaki,東長崎
SI 04,Ekoda,江古田
SI 05,Sakuradai,桜台
SI 06,Nerima,練馬
SI 07,Nakamurabashi,中村橋
SI 08,Fujimidai,富士見台
SI 09,Nerima-Takanodai,練馬高野台
SI 10,Shakujii-kōen,石神井公園
SI 11,Ōizumi-gakuen,大泉学園
SI 12,Hōya,保谷
SI 13,Hibarigaoka,ひばりヶ丘
SI 14,Higashi-Kurume,東久留米
SI 15,Kiyose,清瀬
SI 16,Akitsu,秋津
SI 17,Tokorozawa,所沢
SI 18,Nishi-Tokorozawa,西所沢
SI 19,Kotesashi,小手指
SI 20,Sayamagaoka,狭山ヶ丘
SI 21,Musashi-Fujisawa,武蔵藤沢
SI 22,Inariyama-kōen,稲荷山公園
SI 23,Irumashi,入間市
SI 24,Bushi,仏子
SI 25,Motokaji,元加治
SI 26,Hannō,飯能
SI 27,Higashi-Hannō,東飯能
SI 28,Koma,高麗
SI 29,Musashi-Yokote,武蔵横手
SI 30,Higashi-Agano,東吾野
SI 31,Agano,吾野
