stationCode,eng,jp
SS 01,Seibu-Shinjuku,西武新宿
SS 02,Takadanobaba,高田馬場
SS 03,Shimo-Ochiai,下落合
SS 04,Nakai,中井
SS 05,Araiyakushi-mae,新井薬師前
SS 06,Numabukuro,沼袋
SS 07,Nogata,野方
SS 08,Toritsu-Kasei,都立家政
SS 09,Saginomiya,鷺ノ宮
SS 10,Shimo-Igusa,下井草
SS 11,Iogi,井荻
SS 12,Kami-Igusa,上井草
SS 13,Kami-Shakujii,上石神井
SS 14,Musashi-Seki,武蔵関
SS 15,Higashi-Fushimi,東伏見
SS 16,Seibu-Yagisawa,西武柳沢
SS 17,Tanashi,田無
SS 18,Hana-Koganei,花小金井
SS 19,Kodaira,小平
SS 20,Kumegawa,久米川
SS 21,Higashi-Murayama,東村山
SS 22,Tokorozawa,所沢
SS 23,Kōkū-kōen,航空公園
SS 24,Shin-Tokorozawa,新所沢
SS 25,Iriso,入曽
SS 26,Sayamashi,狭山市
SS 27,Shin-Sayama,新狭山
SS 28,Minami-Ōtsuka,南大塚
SS 29,Hon-Kawagoe,本川越
