stationCode,eng,jp
TS 30,Tōbu-DōbuTS u-Kōen,東武動物公園
TI 01,Wado,和戸
TI 02,Kuki,久喜
TI 03,Washinomiya,鷲宮
TI 04,Hanasaki,花崎
TI 05,Kazo,加須
TI 06,Minami-Hanyū,南羽生
TI 07,Hanyū,羽生
TI 08,Kawamata,川俣
TI 09,Morinji-mae,茂林寺前
TI 10,Tatebayashi,館林
TI 11,Tatara,多々良
TI 12,Agata,県
TI 13,Fukui,福居
TI 14,Tōbu-Izumi,東武和泉
TI 15,Ashikagashi,足利市
TI 16,Yashū-yamabe,野州山辺
TI 17,Niragawa,韮川
TI 18,Ōta,太田
TI 19,Hosoya,細谷
TI 20,Kizaki,木崎
TI 21,Serada,世良田
TI 22,Sakaimachi,境町
TI 23,Gōshi,剛志
TI 24,Shin-Isesaki,新伊勢崎
TI 25,Isesaki,伊勢崎
