stationCode,eng,jp
TS 01,Asakusa,浅草
TS 02,Tokyo Skytree,とうきょうスカイツリー
TS 03,(Oshiage),押上
TS 04,Hikifune,曳舟
TS 05,Higashi-Mukōjima,東向島
TS 06,Kanegafuchi,鐘ヶ淵
TS 07,Horikiri,堀切
TS 08,Ushida,牛田
TS 09,Kita-Senju,北千住
TS 10,Kosuge,小菅
TS 11,Gotanno,五反野
TS 12,Umejima,梅島
TS 13,Nishiarai,西新井
TS 14,Takenotsuuka,竹ノ塚
TS 15,Yatsuka,谷塚
TS 16,Sōka,草加
TS 17,Dokkyodaigakumae,獨協大学前
TS 18,Shinden,新田
TS 19,Gamō,蒲生
TS 20,Shin-Koshigaya,新越谷
TS 21,Koshigaya,越谷
TS 22,Kita-Koshigaya,北越谷
TS 23,Ōbukuro,大袋
TS 24,Sengendai,せんげん台
TS 25,Takesato,武里
TS 26,Ichinowari,一ノ割
TS 27,Kasukabe,春日部
TS 28,Kita-Kasukabe,北春日部
TS 29,Himemiya,姫宮
TS 30,Tōbu-DōbuTS u-Kōen,東武動物公園
