stationCode,eng,jp
TD 01,Ōmiya,大宮
TD 02,Kita-Ōmiya,北大宮
TD 03,Ōmiya-kōen,大宮公園
TD 04,Ōwada,大和田
TD 05,Nanasato,七里
TD 06,Iwatsuki,岩槻
TD 07,Higashi-Iwatsuki,東岩槻
TD 08,Toyoharu,豊春
TD 09,Yagisaki,八木崎
TD 10,Kasukabe,春日部
TD 11,Fujino-ushijima,藤の牛島
TD 12,Minami-Sakurai,南桜井
TD 13,Kawama,川間
TD 14,Nanakōdai,七光台
TD 15,Shimizu-kōen,清水公園
TD 16,Atago,愛宕
TD 17,Nodashi,野田市
TD 18,Umesato,梅郷
TD 19,Unga,運河
TD 20,Edogawadai,江戸川台
TD 21,Hatsuishi,初石
TD 22,Nagareyama-ōtakanomori,流山おおたかの森
TD 23,Toyoshiki,豊四季
TD 24,Kashiwa,柏
TD 25,Shin-Kashiwa,新柏
TD 26,Masuo,増尾
TD 27,Sakasai,逆井
TD 28,Takayanagi,高柳
TD 29,Mutsumi,六実
TD 30,Shin-Kamagaya,新鎌ヶ谷
TD 31,Kamagaya,鎌ヶ谷
TD 32,Magomezawa,馬込沢
TD 33,Tsukada,塚田
TD 34,Shin-Funabashi,新船橋
TD 35,Funabashi,船橋
