stationCode,eng,jp
E 01,Shinjuku-nishiguchi,新宿西口
E 02,Higashi-shinjuku,東新宿
E 03,Wakamatsu-kawada,若松河田
E 04,Ushigome-yanagicho,牛込柳町
E 05,Ushigome-kagurazaka,牛込神楽坂
E 06,Iidabashi,飯田橋
E 07,Kasuga,春日
E 08,Hongō-sanchōme,本郷三丁目
E 09,Ueno-okachimachi,上野御徒町
E 10,Shin-okachimachi,新御徒町
E 11,Kuramae,蔵前
E 12,Ryōgoku,両国
E 13,Morishita,森下
E 14,Kiyosumi-shirakawa,清澄白河
E 15,Monzen-nakacho,門前仲町
E 16,Tsukishima,月島
E 17,Kachidoki,勝どき
E 18,Tsukijishijō,築地市場
E 19,Shiodome,汐留
E 20,Daimon,大門
E 21,Akabanebashi,赤羽橋
E 22,Azabu-juban,麻布十番
E 23,Roppongi,六本木
E 24,Aoyama-itchōme,青山一丁目
E 25,Kokuritsu-Kyōgijō,国立競技場
E 26,Yoyogi,代々木
E 27,Shinjuku,新宿
E 28,Tochomae,都庁前
E 29,Nishi-shinjuku-gochome,西新宿五丁目
E 30,Nakano-sakaue,中野坂上
E 31,Higashi-Nakano,東中野
E 32,Nakai,中井
E 33,Ochiai-minami-nagasaki,落合南長崎
E 34,Shin-egota,新江古田
E 35,Nerima,練馬
E 36,Toshimaen,豊島園
E 37,Nerima-kasugachō,練馬春日町
E 38,Hikarigaoka,光が丘
