stationCode,eng,jp
M 01,Ogikubo,荻窪
M 02,Minami-asagaya,南阿佐ケ谷
M 03,Shin-koenji,新高円寺
M 04,Higashi-koenji,東高円寺
M 05,Shin-nakano,新中野
M 06,Nakano-sakaue,中野坂上
M 07,Nishi-shinjuku,西新宿
M 08,Shinjuku,新宿
M 09,Shinjuku-sanchome,新宿三丁目
M 10,Shinjuku-gyoemmae,新宿御苑前
M 11,Yotsuya-sanchome,四谷三丁目
M 12,Yotsuya,四ツ谷
M 13,Akasaka-mitsuke,赤坂見附
M 14,Kokkai-gijidomae,国会議事堂前
M 15,Kasumigaseki,霞ケ関
M 16,Ginza,銀座
M 17,Tokyo,東京
M 18,Ōtemachi,大手町
M 19,Awajicho,淡路町
M 20,Ochanomizu,御茶ノ水
M 21,Hongo-sanchome,本郷三丁目
M 22,Korakuen,後楽園
M 23,Myogadani,茗荷谷
M 24,Shin-otsuka,新大塚
M 25,Ikebukuro,池袋
Mb 03,Honancho,方南町
Mb 04,Nakano-fujimicho,中野富士見町
Mb 05,Nakano-shimbashi,中野新橋
