stationCode,eng,jp
Y 01,Wakoshi,和光市
Y 02,Chikatetsu-narimasu,地下鉄成増
Y 03,Chikatetsu-akatsuka,地下鉄赤塚
Y 04,Heiwadai,平和台
Y 05,Hikawadai,氷川台
Y 06,Kotake-mukaihara,小竹向原
Y 07,Senkawa,千川
Y 08,Kanamecho,要町
Y 09,Ikebukuro,池袋
Y 10,Higashi-ikebukuro,東池袋
Y 11,Gokokuji,護国寺
Y 12,Edogawabashi,江戸川橋
Y 13,Iidabashi,飯田橋
Y 14,Ichigaya,市ケ谷
Y 15,Kojimachi,麹町
Y 16,Nagatacho,永田町
Y 17,Sakuradamon,桜田門
Y 18,Yurakucho,有楽町
Y 19,Ginza-itchome,銀座一丁目
Y 20,Shintomicho,新富町
Y 21,Tsukishima,月島
Y 22,Toyosu,豊洲
Y 23,Tatsumi,辰巳
Y 24,Shin-kiba,新木場
