stationCode,eng,jp
DT 01,Shibuya,渋谷
DT 02,Ikejiri-ōhashi,池尻大橋
DT 03,Sangen-jaya,三軒茶屋
DT 04,Komazawa-daigaku,駒沢大学
DT 05,Sakura-shimmachi,桜新町
DT 06,Yōga,用賀
DT 07,Futako-tamagawa,二子玉川
DT 08,Futako-shinchi,二子新地
DT 09,Takatsu,高津
DT 10,Mizonokuchi,溝の口
DT 11,Kajigaya,梶が谷
DT 12,Miyazakidai,宮崎台
DT 13,Miyamaedaira,宮前平
DT 14,Saginuma,鷺沼
DT 15,Tama-plaza,たまプラーザ
DT 16,Azamino,あざみ野
DT 17,Eda,江田
DT 18,Ichigao,市が尾
DT 19,Fujigaoka,藤が丘
DT 20,Aobadai,青葉台
DT 21,Tana,田奈
DT 22,Nagatsuta,長津田
DT 23,Tsukushino,つくし野
DT 24,Suzukakedai,すずかけ台
DT 25,Minami-machida Grandberry Park,南町田グランベリーパーク
DT 26,Tsukimino,つきみ野
DT 27,Chūō-rinkan,中央林間
